Christian McCaffrey,RB,CAR,9962
Jonathan Taylor,RB,IND,9933
Saquon Barkley,RB,NYG,9882
Justin Jefferson,WR,MIN,9476
Dalvin Cook,RB,MIN,9289
AJ Brown,WR,TEN,8930
DK Metcalf,WR,SEA,8795
Davante Adams,WR,GBP,8736
Tyreek Hill,WR,KCC,8732
Alvin Kamara,RB,NOS,8660
Nick Chubb,RB,CLE,8030
D'Andre Swift,RB,DET,7999
Patrick Mahomes,QB,KCC,7983
Stefon Diggs,WR,BUF,7757
Cam Akers,RB,LAR,7751
CeeDee Lamb,WR,DAL,7678
JK Dobbins,RB,BAL,7360
George Kittle,TE,SFO,7338
Calvin Ridley,WR,ATL,7323
DeAndre Hopkins,WR,ARI,7258
Derrick Henry,RB,TEN,7179
Travis Kelce,TE,KCC,7031
Antonio Gibson,RB,WAS,7026
2021 Early 1st,PI,FA,6884
Chris Godwin,WR,TBB,6746
Terry McLaurin,WR,WAS,6709
Tee Higgins,WR,CIN,6701
Michael Thomas,WR,NOS,6691
Josh Jacobs,RB,LVR,6683
Clyde Edwards-Helaire,RB,KCC,6626
Miles Sanders,RB,PHI,6533
Ezekiel Elliott,RB,DAL,6416
DJ Moore,WR,CAR,6389
Allen Robinson,WR,CHI,6363
Josh Allen,QB,BUF,6298
Deshaun Watson,QB,HOU,6271
Aaron Jones,RB,GBP,6212
Kyler Murray,QB,ARI,6104
Joe Mixon,RB,CIN,6096
Austin Ekeler,RB,LAC,6081
Amari Cooper,WR,DAL,6007
Mike Evans,WR,TBB,5937
Chase Claypool,WR,PIT,5922
Keenan Allen,WR,LAC,5895
2021 Mid 1st,PI,FA,5875
Darren Waller,TE,LVR,5855
2022 Early 1st,PI,FA,5849
James Robinson,RB,JAC,5837
Courtland Sutton,WR,DEN,5824
Lamar Jackson,QB,BAL,5749
Brandon Aiyuk,WR,SFO,5731
Justin Herbert,QB,LAC,5688
TJ Hockenson,TE,DET,5627
David Montgomery,RB,CHI,5527
Diontae Johnson,WR,PIT,5460
Kenny Golladay,WR,DET,5389
Jerry Jeudy,WR,DEN,5268
Kareem Hunt,RB,CLE,5266
DJ Chark,WR,JAC,5221
Dak Prescott,QB,DAL,5162
Mark Andrews,TE,BAL,5147
JuJu Smith-Schuster,WR,PIT,4944
AJ Dillon,RB,GBP,4944
2022 Mid 1st,PI,FA,4934
2021 Late 1st,PI,FA,4878
Robert Woods,WR,LAR,4833
Joe Burrow,QB,CIN,4833
Tyler Boyd,WR,CIN,4819
Laviska Shenault,WR,JAC,4819
Cooper Kupp,WR,LAR,4795
Noah Fant,TE,DEN,4685
Russell Wilson,QB,SEA,4683
Julio Jones,WR,ATL,4638
Deebo Samuel,WR,SFO,4562
Odell Beckham,WR,CLE,4544
2022 Late 1st,PI,FA,4529
Will Fuller,WR,HOU,4487
Michael Pittman,WR,IND,4406
Denzel Mims,WR,NYJ,4292
Dallas Goedert,TE,PHI,4280
Adam Thielen,WR,MIN,4263
Tyler Lockett,WR,SEA,4258
2021 Early 2nd,PI,FA,4200
Ronald Jones,RB,TBB,4161
Curtis Samuel,WR,CAR,4080
Marquise Brown,WR,BAL,4071
Michael Gallup,WR,DAL,4016
Aaron Rodgers,QB,GBP,3951
2021 Mid 2nd,PI,FA,3950
