Patrick Mahomes,QB,KCC,9999
Josh Allen,QB,BUF,9965
Deshaun Watson,QB,HOU,9590
Christian McCaffrey,RB,CAR,9231
Kyler Murray,QB,ARI,9210
Justin Herbert,QB,LAC,8756
Saquon Barkley,RB,NYG,8437
Justin Jefferson,WR,MIN,8322
Jonathan Taylor,RB,IND,8305
Lamar Jackson,QB,BAL,8142
Dak Prescott,QB,DAL,7962
Joe Burrow,QB,CIN,7927
Dalvin Cook,RB,MIN,7827
DK Metcalf,WR,SEA,7791
Davante Adams,WR,GBP,7742
Alvin Kamara,RB,NOS,7737
Tyreek Hill,WR,KCC,7702
AJ Brown,WR,TEN,7663
D'Andre Swift,RB,DET,7586
Russell Wilson,QB,SEA,7496
Stefon Diggs,WR,BUF,7337
Cam Akers,RB,LAR,7298
Nick Chubb,RB,CLE,7202
JK Dobbins,RB,BAL,7101
2021 Early 1st,PI,FA,7083
CeeDee Lamb,WR,DAL,7077
George Kittle,TE,SFO,7045
Travis Kelce,TE,KCC,6988
Calvin Ridley,WR,ATL,6969
DeAndre Hopkins,WR,ARI,6818
Derrick Henry,RB,TEN,6734
Antonio Gibson,RB,WAS,6675
Josh Jacobs,RB,LVR,6662
Clyde Edwards-Helaire,RB,KCC,6655
Tee Higgins,WR,CIN,6598
Chris Godwin,WR,TBB,6552
Miles Sanders,RB,PHI,6545
Terry McLaurin,WR,WAS,6535
Michael Thomas,WR,NOS,6519
DJ Moore,WR,CAR,6505
Ezekiel Elliott,RB,DAL,6276
2021 Mid 1st,PI,FA,6215
2022 Early 1st,PI,FA,6193
James Robinson,RB,JAC,6052
Allen Robinson,WR,CHI,6021
Aaron Jones,RB,GBP,6007
Darren Waller,TE,LVR,6004
Austin Ekeler,RB,LAC,5957
Baker Mayfield,QB,CLE,5944
Aaron Rodgers,QB,GBP,5930
Joe Mixon,RB,CIN,5879
Ryan Tannehill,QB,TEN,5861
Matthew Stafford,QB,LAR,5839
Mike Evans,WR,TBB,5823
Amari Cooper,WR,DAL,5812
TJ Hockenson,TE,DET,5799
Keenan Allen,WR,LAC,5760
Brandon Aiyuk,WR,SFO,5725
Jalen Hurts,QB,PHI,5716
Courtland Sutton,WR,DEN,5698
Tua Tagovailoa,QB,MIA,5669
Chase Claypool,WR,PIT,5661
Diontae Johnson,WR,PIT,5461
2021 Late 1st,PI,FA,5419
Jerry Jeudy,WR,DEN,5409
David Montgomery,RB,CHI,5326
2022 Mid 1st,PI,FA,5326
Kenny Golladay,WR,DET,5316
Mark Andrews,TE,BAL,5295
JuJu Smith-Schuster,WR,PIT,5203
DJ Chark,WR,JAC,5179
Kareem Hunt,RB,CLE,5150
AJ Dillon,RB,GBP,5103
Robert Woods,WR,LAR,4932
Carson Wentz,QB,PHI,4926
Kirk Cousins,QB,MIN,4909
Noah Fant,TE,DEN,4876
Tyler Boyd,WR,CIN,4872
2022 Late 1st,PI,FA,4855
Cooper Kupp,WR,LAR,4779
Deebo Samuel,WR,SFO,4691
Derek Carr,QB,LVR,4659
Laviska Shenault,WR,JAC,4612
Michael Pittman,WR,IND,4527
2021 Early 2nd,PI,FA,4509
Julio Jones,WR,ATL,4433
Dallas Goedert,TE,PHI,4420
Odell Beckham,WR,CLE,4406
Jared Goff,QB,DET,4394
Daniel Jones,QB,NYG,4388
Tyler Lockett,WR,SEA,4336
Will Fuller,WR,HOU,4294
Curtis Samuel,WR,CAR,4277
Adam Thielen,WR,MIN,4218
Denzel Mims,WR,NYJ,3999
Ronald Jones,RB,TBB,3997
Chris Carson,RB,SEA,3963
Sam Darnold,QB,NYJ,3935
Corey Davis,WR,TEN,3932
Marquise Brown,WR,BAL,3915
2022 Early 2nd,PI,FA,3875
Michael Gallup,WR,DAL,3851
2021 Mid 2nd,PI,FA,3810
Jalen Reagor,WR,PHI,3805
Gabriel Davis,WR,BUF,3763
Hunter Henry,TE,LAC,3748
Tom Brady,QB,TBB,3729
Brandin Cooks,WR,HOU,3718
Robby Anderson,WR,CAR,3685
Mike Gesicki,TE,MIA,3650
Jameis Winston,QB,NOS,3615
Irv Smith,TE,MIN,3563
Henry Ruggs,WR,LVR,3561
Darnell Mooney,WR,CHI,3554
Jarvis Landry,WR,CLE,3550
Damien Harris,RB,NEP,3495
2021 Late 2nd,PI,FA,3481
Jonnu Smith,TE,TEN,3474
Myles Gaskin,RB,MIA,3454
Chase Edmonds,RB,ARI,3444
Matt Ryan,QB,ATL,3422
DeVante Parker,WR,MIA,3361
Jimmy Garoppolo,QB,SFO,3337
Tony Pollard,RB,DAL,3329
Leonard Fournette,RB,TBB,3277
Cole Kmet,TE,CHI,3244
Christian Kirk,WR,ARI,3213
Drew Lock,QB,DEN,3201
2022 Mid 2nd,PI,FA,3194
Robert Tonyan,TE,GBP,3189
Darius Slayton,WR,NYG,3153
Evan Engram,TE,NYG,3152
Parris Campbell,WR,IND,3129
Mike Williams,WR,LAC,3101
Melvin Gordon,RB,DEN,3082
Zack Moss,RB,BUF,3056
Jordan Love,QB,GBP,3004
Alexander Mattison,RB,MIN,2998
Taysom Hill,QB,NOS,2900
Jamaal Williams,RB,GBP,2878
Kenyan Drake,RB,ARI,2864
2022 Late 2nd,PI,FA,2858
Devin Singletary,RB,BUF,2821
Nyheim Hines,RB,IND,2761
Logan Thomas,TE,WAS,2753
Mecole Hardman,WR,KCC,2750
Rashaad Penny,RB,SEA,2748
Sterling Shepard,WR,NYG,2708
Raheem Mostert,RB,SFO,2682
Jeffery Wilson,RB,SFO,2674
Teddy Bridgewater,QB,CAR,2656
Jamison Crowder,WR,NYJ,2639
Hayden Hurst,TE,ATL,2574
Tyler Johnson,WR,TBB,2550
KJ Hamler,WR,DEN,2537
Bryan Edwards,WR,LVR,2510
2021 Early 3rd,PI,FA,2443
Austin Hooper,TE,CLE,2439
Preston Williams,WR,MIA,2408
Gus Edwards,RB,BAL,2374
Adam Trautman,TE,NOS,2370
James Conner,RB,PIT,2327
Darrell Henderson,RB,LAR,2277
Marcus Mariota,QB,LVR,2272
Cole Beasley,WR,BUF,2265
Van Jefferson,WR,LAR,2258
Allen Lazard,WR,GBP,2221
Antonio Brown,WR,TBB,2204
Tyler Higbee,TE,LAR,2191
David Johnson,RB,HOU,2162
Donovan Peoples-Jones,WR,CLE,2144
Quintez Cephus,WR,DET,2086
Mitchell Trubisky,QB,CHI,2080
Phillip Lindsay,RB,DEN,1996
Jakobi Meyers,WR,NEP,1990
Ke'Shawn Vaughn,RB,TBB,1972
Marvin Jones,WR,DET,1968
Blake Jarwin,TE,DAL,1967
2021 Mid 3rd,PI,FA,1960
Russell Gage,WR,ATL,1960
Anthony McFarland,RB,PIT,1888
Tarik Cohen,RB,CHI,1886
Dawson Knox,TE,BUF,1878
Zach Ertz,TE,PHI,1871
Harrison Bryant,TE,CLE,1837
DeeJay Dallas,RB,SEA,1736
Marlon Mack,RB,IND,1735
James Washington,WR,PIT,1718
Rashard Higgins,WR,CLE,1715
JD McKissic,RB,WAS,1708
Nelson Agholor,WR,LVR,1692
David Njoku,TE,CLE,1643
Ben Roethlisberger,QB,PIT,1620
2021 Late 3rd,PI,FA,1606
TY Hilton,WR,IND,1579
Lynn Bowden,RB,MIA,1574
OJ Howard,TE,TBB,1573
Scott Miller,WR,TBB,1559
Cam Newton,QB,NEP,1511
2022 Early 3rd,PI,FA,1487
Mike Davis,RB,CAR,1459
Gardner Minshew,QB,JAC,1445
La'Mical Perine,RB,NYJ,1379
Salvon Ahmed,RB,MIA,1370
Benny Snell,RB,PIT,1349
Tim Patrick,WR,DEN,1323
Anthony Miller,WR,CHI,1312
2022 Mid 3rd,PI,FA,1302
Gerald Everett,TE,LAR,1299
N'Keal Harry,WR,NEP,1287
Sony Michel,RB,NEP,1284
Marquez Valdes-Scantling,WR,GBP,1274
Collin Johnson,WR,JAC,1272
Hunter Renfrow,WR,LVR,1260
Travis Fulgham,WR,PHI,1256
Rob Gronkowski,TE,TBB,1221
Todd Gurley,RB,ATL,1175
John Brown,WR,BUF,1121
Dalton Schultz,TE,DAL,1065
Josh Reynolds,WR,LAR,1064
Antonio Gandy-Golden,WR,WAS,1064
Keke Coutee,WR,HOU,1058
Chris Herndon,TE,NYJ,1041
Eric Ebron,TE,PIT,1033
Joshua Kelley,RB,LAC,978
2022 Late 3rd,PI,FA,976
Darrynton Evans,RB,TEN,933
Mo Alie-Cox,TE,IND,922
Keelan Cole,WR,JAC,904
Devin Duvernay,WR,BAL,884
Breshad Perriman,WR,NYJ,872
Zach Pascal,WR,IND,854
Wayne Gallman,RB,NYG,844
Albert Okwuegbunam,TE,DEN,844
Jacob Eason,QB,IND,838
Justin Jackson,RB,LAC,826
Tre'Quan Smith,WR,NOS,823
Jalen Guyton,WR,LAC,815
Andy Isabella,WR,ARI,810
Anthony Firkser,TE,TEN,798
Damien Williams,RB,KCC,795
Ryan Fitzpatrick,QB,MIA,780
2021 Mid 4th,PI,FA,774
2021 Early 4th,PI,FA,759
Boston Scott,RB,PHI,759
Jamycal Hasty,RB,SFO,758
Dwayne Haskins,QB,PIT,755
