Christian McCaffrey,RB,CAR,9999
Saquon Barkley,RB,NYG,9703
Jonathan Taylor,RB,IND,9465
Dalvin Cook,RB,MIN,9375
Alvin Kamara,RB,NOS,9118
Tyreek Hill,WR,KCC,9112
DK Metcalf,WR,SEA,9033
Justin Jefferson,WR,MIN,8991
Davante Adams,WR,GBP,8942
AJ Brown,WR,TEN,8499
D'Andre Swift,RB,DET,8016
Nick Chubb,RB,CLE,7943
Stefon Diggs,WR,BUF,7863
Patrick Mahomes,QB,KCC,7775
George Kittle,TE,SFO,7581
JK Dobbins,RB,BAL,7448
Calvin Ridley,WR,ATL,7441
CeeDee Lamb,WR,DAL,7379
Cam Akers,RB,LAR,7324
Travis Kelce,TE,KCC,7290
DeAndre Hopkins,WR,ARI,7282
Derrick Henry,RB,TEN,7279
2021 Early 1st,PI,FA,6980
Terry McLaurin,WR,WAS,6859
Antonio Gibson,RB,WAS,6809
Josh Jacobs,RB,LVR,6734
Michael Thomas,WR,NOS,6659
Chris Godwin,WR,TBB,6633
Miles Sanders,RB,PHI,6506
Clyde Edwards-Helaire,RB,KCC,6427
Tee Higgins,WR,CIN,6363
Aaron Jones,RB,GBP,6329
Allen Robinson,WR,CHI,6324
DJ Moore,WR,CAR,6301
Kyler Murray,QB,ARI,6294
Josh Allen,QB,BUF,6288
Ezekiel Elliott,RB,DAL,6192
Darren Waller,TE,LVR,6169
Austin Ekeler,RB,LAC,6105
Deshaun Watson,QB,HOU,6073
James Robinson,RB,JAC,6028
Mike Evans,WR,TBB,6002
Joe Mixon,RB,CIN,5974
2022 Early 1st,PI,FA,5952
Justin Herbert,QB,LAC,5891
Keenan Allen,WR,LAC,5832
Lamar Jackson,QB,BAL,5822
Brandon Aiyuk,WR,SFO,5733
Diontae Johnson,WR,PIT,5705
Chase Claypool,WR,PIT,5658
TJ Hockenson,TE,DET,5617
2021 Mid 1st,PI,FA,5613
Courtland Sutton,WR,DEN,5602
David Montgomery,RB,CHI,5489
Amari Cooper,WR,DAL,5473
Kenny Golladay,WR,DET,5393
Jerry Jeudy,WR,DEN,5293
DJ Chark,WR,JAC,5197
Kareem Hunt,RB,CLE,5185
Mark Andrews,TE,BAL,5180
JuJu Smith-Schuster,WR,PIT,5161
Dak Prescott,QB,DAL,5050
2021 Late 1st,PI,FA,5019
Joe Burrow,QB,CIN,5003
2022 Mid 1st,PI,FA,4999
Tyler Boyd,WR,CIN,4847
Cooper Kupp,WR,LAR,4828
Robert Woods,WR,LAR,4810
Will Fuller,WR,HOU,4752
AJ Dillon,RB,GBP,4708
Noah Fant,TE,DEN,4683
