Jonathan Taylor,RB,IND,9999
Justin Jefferson,WR,MIN,9860
Ja'Marr Chase,WR,CIN,9042
Najee Harris,RB,PIT,8434
Javonte Williams,RB,DEN,8410
CeeDee Lamb,WR,DAL,8358
D'Andre Swift,RB,DET,8153
Kyle Pitts,TE,ATL,7889
Tyreek Hill,WR,KCC,7479
Joe Mixon,RB,CIN,7353
Davante Adams,WR,GBP,7228
Christian McCaffrey,RB,CAR,7208
DK Metcalf,WR,SEA,7175
Cooper Kupp,WR,LAR,7139
Jaylen Waddle,WR,MIA,7136
AJ Brown,WR,TEN,7099
Austin Ekeler,RB,LAC,7031
Dalvin Cook,RB,MIN,7029
Nick Chubb,RB,CLE,6967
Deebo Samuel,WR,SFO,6966
Alvin Kamara,RB,NOS,6955
Chris Godwin,WR,TBB,6891
Patrick Mahomes,QB,KCC,6813
Antonio Gibson,RB,WAS,6790
2023 Early 1st,PI,FA,6780
Diontae Johnson,WR,PIT,6708
Saquon Barkley,RB,NYG,6695
Kyler Murray,QB,ARI,6670
Stefon Diggs,WR,BUF,6667
JK Dobbins,RB,BAL,6621
Derrick Henry,RB,TEN,6611
2022 Early 1st,PI,FA,6592
Josh Allen,QB,BUF,6492
Terry McLaurin,WR,WAS,6469
DJ Moore,WR,CAR,6253
Elijah Moore,WR,NYJ,6240
DeVonta Smith,WR,PHI,6214
Tee Higgins,WR,CIN,6195
Justin Herbert,QB,LAC,6155
David Montgomery,RB,CHI,6150
George Kittle,TE,SFO,6138
Lamar Jackson,QB,BAL,6104
Travis Kelce,TE,KCC,6053
Mark Andrews,TE,BAL,5853
Michael Pittman,WR,IND,5793
Elijah Mitchell,RB,SFO,5743
TJ Hockenson,TE,DET,5705
Darren Waller,TE,LVR,5554
2023 Mid 1st,PI,FA,5540
Clyde Edwards-Helaire,RB,KCC,5519
Jerry Jeudy,WR,DEN,5470
2022 Mid 1st,PI,FA,5452
Aaron Jones,RB,GBP,5398
Josh Jacobs,RB,LVR,5395
Ezekiel Elliott,RB,DAL,5334
Mike Evans,WR,TBB,5290
Keenan Allen,WR,LAC,5285
Travis Etienne,RB,JAC,5257
Chase Claypool,WR,PIT,5218
AJ Dillon,RB,GBP,5192
Marquise Brown,WR,BAL,5178
Michael Carter,RB,NYJ,5111
Cam Akers,RB,LAR,5104
Rashod Bateman,WR,BAL,5056
DeAndre Hopkins,WR,ARI,5047
Calvin Ridley,WR,ATL,5044
Brandon Aiyuk,WR,SFO,5012
Leonard Fournette,RB,TBB,4900
Amari Cooper,WR,DAL,4892
Dak Prescott,QB,DAL,4869
James Robinson,RB,JAC,4861
2023 Late 1st,PI,FA,4850
2022 Late 1st,PI,FA,4848
Tony Pollard,RB,DAL,4798
Darnell Mooney,WR,CHI,4706
Joe Burrow,QB,CIN,4634
Damien Harris,RB,NEP,4501
Kadarius Toney,WR,NYG,4491
Pat Freiermuth,TE,PIT,4458
Miles Sanders,RB,PHI,4444
Mike Williams,WR,LAC,4426
Rondale Moore,WR,ARI,4411
Kareem Hunt,RB,CLE,4401
Dallas Goedert,TE,PHI,4353
Michael Gallup,WR,DAL,4182
Courtland Sutton,WR,DEN,4116
Darrell Henderson,RB,LAR,4112
Hunter Renfrow,WR,LVR,4085
Rhamondre Stevenson,RB,NEP,3954
Noah Fant,TE,DEN,3898
Tyler Lockett,WR,SEA,3885
Justin Fields,QB,CHI,3869
Jalen Hurts,QB,PHI,3841
James Conner,RB,ARI,3837
Dawson Knox,TE,BUF,3817
Trevor Lawrence,QB,JAC,3803
Alexander Mattison,RB,MIN,3801
Michael Thomas,WR,NOS,3787
2022 Early 2nd,PI,FA,3750
2023 Early 2nd,PI,FA,3724
Mike Gesicki,TE,MIA,3613
Russell Wilson,QB,SEA,3529
JuJu Smith-Schuster,WR,PIT,3529
Trey Lance,QB,SFO,3491
Mac Jones,QB,NEP,3484
Matthew Stafford,QB,LAR,3482
Adam Thielen,WR,MIN,3431
Allen Robinson,WR,CHI,3425
Van Jefferson,WR,LAR,3385
Chuba Hubbard,RB,CAR,3373
Cordarrelle Patterson,WR,ATL,3372
Robert Woods,WR,LAR,3289
Myles Gaskin,RB,MIA,3279
2023 Mid 2nd,PI,FA,3261
Cole Kmet,TE,CHI,3229
Brandin Cooks,WR,HOU,3228
Aaron Rodgers,QB,GBP,3226
Jakobi Meyers,WR,NEP,3200
2022 Mid 2nd,PI,FA,3194
Dalton Schultz,TE,DAL,3185
Chase Edmonds,RB,ARI,3131
Amon-Ra St Brown,WR,DET,3130
Deshaun Watson,QB,HOU,3121
Tua Tagovailoa,QB,MIA,3077
Tom Brady,QB,TBB,3057
Christian Kirk,WR,ARI,2966
DJ Chark,WR,JAC,2930
Kenneth Gainwell,RB,PHI,2909
Laviska Shenault,WR,JAC,2866
2023 Late 2nd,PI,FA,2851
Khalil Herbert,RB,CHI,2800
Corey Davis,WR,NYJ,2749
Rob Gronkowski,TE,TBB,2723
2022 Late 2nd,PI,FA,2716
Melvin Gordon,RB,DEN,2673
Tyler Boyd,WR,CIN,2666
Odell Beckham,WR,LAR,2665
Donovan Peoples-Jones,WR,CLE,2611
Terrace Marshall,WR,CAR,2575
Zach Wilson,QB,NYJ,2553
Hunter Henry,TE,NEP,2542
Irv Smith Jr,TE,MIN,2539
Curtis Samuel,WR,WAS,2508
Jamaal Williams,RB,DET,2455
Tim Patrick,WR,DEN,2419
Nico Collins,WR,HOU,2368
Kendrick Bourne,WR,NEP,2365
Kenny Golladay,WR,NYG,2343
Gus Edwards,RB,BAL,2282
Jarvis Landry,WR,CLE,2251
Ronald Jones,RB,TBB,2246
Zach Ertz,TE,ARI,2229
Nyheim Hines,RB,IND,2191
Devin Singletary,RB,BUF,2184
Gabriel Davis,WR,BUF,2175
Antonio Brown,WR,TBB,2166
Trey Sermon,RB,SFO,2133
Carson Wentz,QB,IND,2112
KJ Osborn,WR,MIN,2107
Bryan Edwards,WR,LVR,2105
Adam Trautman,TE,NOS,2078
DeVante Parker,WR,MIA,2024
Chris Carson,RB,SEA,1990
JD McKissic,RB,WAS,1987
Derek Carr,QB,LVR,1952
Russell Gage,WR,ATL,1936
Zack Moss,RB,BUF,1934
Will Fuller,WR,MIA,1876
Josh Palmer,WR,LAC,1871
Sterling Shepard,WR,NYG,1859
Kirk Cousins,QB,MIN,1849
Marquez Callaway,WR,NOS,1848
Darrel Williams,RB,KCC,1755
Tyler Higbee,TE,LAR,1730
Julio Jones,WR,TEN,1712
Logan Thomas,TE,WAS,1705
2023 Early 3rd,PI,FA,1694
Tyler Conklin,TE,MIN,1685
Ryan Tannehill,QB,TEN,1674
Evan Engram,TE,NYG,1647
D'Ernest Johnson,RB,CLE,1639
KJ Hamler,WR,DEN,1631
Dyami Brown,WR,WAS,1626
Darius Slayton,WR,NYG,1614
2022 Early 3rd,PI,FA,1568
Mecole Hardman,WR,KCC,1533
Tyler Johnson,WR,TBB,1514
Sony Michel,RB,LAR,1493
Quintez Cephus,WR,DET,1486
Kenyan Drake,RB,LVR,1484
Daniel Jones,QB,NYG,1478
Jalen Reagor,WR,PHI,1476
Dan Arnold,TE,JAC,1472
Quez Watkins,WR,PHI,1453
Jermar Jefferson,RB,DET,1444
2023 Mid 3rd,PI,FA,1439
2022 Mid 3rd,PI,FA,1430
Donald Parham,TE,LAC,1405
Amari Rodgers,WR,GBP,1399
Jaret Patterson,RB,WAS,1391
Allen Lazard,WR,GBP,1373
Tommy Tremble,TE,CAR,1371
Baker Mayfield,QB,CLE,1363
Jeffery Wilson,RB,SFO,1363
