Patrick Mahomes,QB,KCC,9999
Josh Allen,QB,BUF,9981
Christian McCaffrey,RB,CAR,9261
Kyler Murray,QB,ARI,9062
Justin Herbert,QB,LAC,8678
Lamar Jackson,QB,BAL,8229
Jonathan Taylor,RB,IND,8165
Dak Prescott,QB,DAL,8119
Justin Jefferson,WR,MIN,7963
Saquon Barkley,RB,NYG,7429
AJ Brown,WR,TEN,7393
Trevor Lawrence,QB,JAC,7386
Tyreek Hill,WR,KCC,7317
Dalvin Cook,RB,MIN,7308
Joe Burrow,QB,CIN,7203
DK Metcalf,WR,SEA,7189
Alvin Kamara,RB,NOS,7087
Cam Akers,RB,LAR,6671
Stefon Diggs,WR,BUF,6554
Nick Chubb,RB,CLE,6539
Ja'Marr Chase,WR,CIN,6533
Davante Adams,WR,GBP,6452
Calvin Ridley,WR,ATL,6450
Trey Lance,QB,SFO,6450
Russell Wilson,QB,SEA,6391
Justin Fields,QB,CHI,6386
Antonio Gibson,RB,WAS,6335
Kyle Pitts,TE,ATL,6298
Travis Kelce,TE,KCC,6211
George Kittle,TE,SFO,6195
2021 Early 1st,PI,FA,6176
Najee Harris,RB,PIT,6157
CeeDee Lamb,WR,DAL,6133
Ezekiel Elliott,RB,DAL,6092
Terry McLaurin,WR,WAS,6079
D'Andre Swift,RB,DET,6068
Darren Waller,TE,LVR,6040
Clyde Edwards-Helaire,RB,KCC,6021
Derrick Henry,RB,TEN,6017
JK Dobbins,RB,BAL,6008
Joe Mixon,RB,CIN,5961
Travis Etienne,RB,JAC,5890
DeAndre Hopkins,WR,ARI,5858
DJ Moore,WR,CAR,5821
2022 Early 1st,PI,FA,5797
Michael Thomas,WR,NOS,5736
Aaron Jones,RB,GBP,5734
2021 Mid 1st,PI,FA,5718
Chris Godwin,WR,TBB,5668
Austin Ekeler,RB,LAC,5648
2023 Early 1st,PI,FA,5574
Tee Higgins,WR,CIN,5570
Zach Wilson,QB,NYJ,5568
Allen Robinson,WR,CHI,5545
Javonte Williams,RB,DEN,5531
Brandon Aiyuk,WR,SFO,5512
David Montgomery,RB,CHI,5488
TJ Hockenson,TE,DET,5434
