Player Name,Position,position_rank,Tier,change_last_14,Fp Ranking,Fp Value,One_Constant,Trade Ranking,Trade Value,Value Score
Alvin Kamara,RB,3,Tier 1,9.507843621,3,71.13652969,1,1,86.74849518,15.61196549
Christian McCaffrey,RB,1,Tier 1,-3.029970434,1,86.74849518,1,2,79.93600893,-6.812486246
Dalvin Cook,RB,2,Tier 1,2.191764659,2,79.93600893,1,3,71.13652969,-8.799479241
DK Metcalf,WR,3,Tier 1,10.3532762,7,62.64432621,1,4,68.95880226,6.31447605
Davante Adams,WR,1,Tier 1,-1.323466068,5,68.58372293,1,5,68.58372293,0
Tyreek Hill,WR,4,Tier 1,5.293573645,8,62.24895785,1,6,63.22961647,0.980658624
Josh Jacobs,RB,7,Tier 1,8.83612894,16,55.72171752,1,7,62.64432621,6.922608687
Patrick Mahomes,QB,1,Tier 1,8.066914836,32,42.11680819,1,8,62.24895785,20.13214966
Derrick Henry,RB,15,Tier 1,2.459191069,30,42.52386006,1,9,61.5573912,19.03353114
DeAndre Hopkins,WR,5,Tier 1,2.014303389,9,61.5573912,1,10,61.53456321,-0.022827988
Saquon Barkley,RB,4,Tier 1,7.508385538,4,68.95880226,1,11,61.43769457,-7.52110769
Stefon Diggs,WR,16,Tier 1,12.16324923,35,41.60405222,1,12,58.21051312,16.6064609
Michael Thomas,WR,2,Tier 1,-2.605000994,6,63.22961647,1,13,58.08449107,-5.145125402
Travis Kelce,TE,2,Tier 1,3.556647089,31,42.28052199,1,14,57.33025955,15.04973757
Aaron Jones,RB,12,Tier 1,1.745416378,23,50.45452724,1,15,56.85755928,6.403032039
Nick Chubb,RB,8,Tier 1,2.719067205,17,54.84095156,1,16,55.72171752,0.880765961
Ezekiel Elliott,RB,11,Tier 1,0.163848744,22,50.64205318,1,17,54.84095156,4.19889838
Calvin Ridley,WR,10,Tier 1,0.925452596,21,53.10700886,1,18,53.78034656,0.673337701
Terry McLaurin,WR,8,Tier 1,7.315012433,14,57.33025955,1,19,53.51245049,-3.817809064
Miles Sanders,RB,6,Tier 1,-0.953666225,15,56.85755928,1,20,53.16209306,-3.695466222
AJ Brown,WR,6,Tier 1,3.948459939,11,61.43769457,1,21,53.10700886,-8.330685715
Justin Jefferson,WR,13,Tier 1,4.128722072,28,46.39327941,1,22,50.64205318,4.24877377
Clyde Edwards-Helaire,RB,5,Tier 1,-2.661359232,10,61.53456321,1,23,50.45452724,-11.08003597
Keenan Allen,WR,18,Tier 2,6.293602413,39,39.90147472,1,24,49.56273504,9.661260316
Chris Godwin,WR,7,Tier 1,5.494580581,12,58.21051312,1,25,49.30497458,-8.905538543
CeeDee Lamb,WR,9,Tier 1,-2.290420029,19,53.51245049,1,26,48.83351355,-4.678936936
George Kittle,TE,1,Tier 1,2.068472701,13,58.08449107,1,27,48.34182039,-9.742670678
