Josh Allen,401.4
Patrick Mahomes II,372.7
Justin Herbert,356.4
Lamar Jackson,352
Kyler Murray,350.6
Jalen Hurts,348.8
Dak Prescott,339
Tom Brady,337.3
Joe Burrow,324.1
Aaron Rodgers,318.4
Matthew Stafford,316.4
Jonathan Taylor,314.2
Trey Lance,311.7
Russell Wilson,308.9
Kirk Cousins,299
Cooper Kupp,296.9
Derek Carr,295.8
Christian McCaffrey,290.3
Austin Ekeler,288.7
Tua Tagovailoa,283.2
Derrick Henry,282.9
Ryan Tannehill,277.2
Trevor Lawrence,272.6
Justin Fields,269.6
Daniel Jones,267.8
Matt Ryan,261
Mac Jones,260.9
Justin Jefferson,259.5
Jameis Winston,256.8
Zach Wilson,255.4
Ja'Marr Chase,254.7
Carson Wentz,253.4
Joe Mixon,249.5
Jared Goff,248.2
Najee Harris,244.5
Dalvin Cook,244.2
Deebo Samuel,242
Davante Adams,241
Alvin Kamara,233.7
Davis Mills,230.2
Aaron Jones,229.7
Leonard Fournette,228.5
Travis Kelce,227.3
Stefon Diggs,225.3
D'Andre Swift,221.2
James Conner,221
Baker Mayfield,220.8
Mark Andrews,220.1
CeeDee Lamb,217.2
Javonte Williams,216.9
David Montgomery,216.2
Tyreek Hill,216.2
Saquon Barkley,215.7
Mike Evans,214.7
Marcus Mariota,213.2
Nick Chubb,211.5
Tee Higgins,208.3
Antonio Gibson,202.7
Ezekiel Elliott,201.4
Cam Akers,200.5
A.J. Brown,200.3
Michael Pittman Jr.,200
Keenan Allen,199.4
Josh Jacobs,196.4
DJ Moore,196.2
Brandin Cooks,195.2
Diontae Johnson,192.9
Mike Williams,192.6
Elijah Mitchell,191.5
J.K. Dobbins,189.8
Deshaun Watson,189.1
Travis Etienne Jr.,187.3
DK Metcalf,186.3
Breece Hall,186.2
Jaylen Waddle,184.5
Miles Sanders,182.5
Terry McLaurin,180
Amon-Ra St. Brown,178.6
Damien Harris,175.2
Tyler Lockett,174.9
Jerry Jeudy,174.3
Michael Thomas,173.8
Chris Godwin,173.8
Gabriel Davis,173.6
Marquise Brown,172.2
Cordarrelle Patterson,171.5
Darnell Mooney,170.8
Amari Cooper,170.4
Courtland Sutton,169.6
Mitch Trubisky,169.2
Devin Singletary,168.8
Adam Thielen,167.6
Hunter Renfrow,166.4
Kyle Pitts,165
Elijah Moore,164.9
Rashaad Penny,164.4
Tony Pollard,164.3
Darren Waller,164
JuJu Smith-Schuster,163.4
Allen Robinson II,163
AJ Dillon,160
Robert Woods,159.9
